Cluster_name,r_kpc,rerr_kpc,kT_keV,kT_err_minus,kT_err_plus,ne_g_cm3,ne_err_minus,ne_err_plus,K,K_err_minus,K_err_plus,RA,DEC
--,kpc,kpc,keV,keV,keV,g cm3,g cm3,g cm3,keV cm2,keV cm2,keV cm2,deg,deg
--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ophiuchus_CLUSTER,1.405,1.405,2.391,0.075,0.07,0.2009,0.002133,0.002156,6.969,0.251,0.27,258.11555,-23.36854
Ophiuchus_CLUSTER,4.215,1.405,4.006,0.141,0.141,0.07266,0.00105,0.001065,23.006,1.021,1.045,258.11555,-23.36854
Ophiuchus_CLUSTER,7.024,1.405,5.439,0.206,0.206,0.0461,0.000856,0.0008722,42.302,2.098,2.165,258.11555,-23.36854
Ophiuchus_CLUSTER,9.834,1.405,5.826,0.277,0.197,0.03601,0.0006738,0.0006866,53.422,2.44,3.263,258.11555,-23.36854
Ophiuchus_CLUSTER,12.644,1.405,6.457,0.302,0.302,0.03225,0.0005531,0.0005627,63.73,3.666,3.768,258.11555,-23.36854
Ophiuchus_CLUSTER,15.454,1.405,7.113,0.288,0.288,0.02663,0.0004976,0.0005071,79.765,4.168,4.3,258.11555,-23.36854
Ophiuchus_CLUSTER,18.263,1.405,7.418,0.501,0.28,0.02481,0.0004281,0.0004357,87.2,4.243,6.995,258.11555,-23.36854
Ophiuchus_CLUSTER,21.073,1.405,7.667,0.439,0.352,0.02169,0.0004109,0.0004188,98.586,5.696,7.009,258.11555,-23.36854
Ophiuchus_CLUSTER,23.883,1.405,7.78,0.418,0.373,0.0212,0.000349,0.0003548,101.566,5.916,6.668,258.11555,-23.36854
Ophiuchus_CLUSTER,26.693,1.405,8.214,0.417,0.417,0.01936,0.0003289,0.0003346,113.942,6.993,7.184,258.11555,-23.36854
Ophiuchus_CLUSTER,29.503,1.405,8.374,0.41,0.41,0.01768,0.0003092,0.0003147,123.407,7.391,7.602,258.11555,-23.36854
Ophiuchus_CLUSTER,32.312,1.405,10.293,0.674,0.674,0.01734,0.0002904,0.0002953,153.612,11.639,11.944,258.11555,-23.36854
Ophiuchus_CLUSTER,35.122,1.405,8.896,0.432,0.432,0.0158,0.000283,0.0002882,141.269,8.441,8.689,258.11555,-23.36854
Ophiuchus_CLUSTER,37.932,1.405,9.094,0.44,0.437,0.01597,0.0002541,0.0002582,143.418,8.321,8.582,258.11555,-23.36854
Ophiuchus_CLUSTER,40.742,1.405,9.669,0.662,0.491,0.01337,0.0002696,0.0002752,171.629,10.869,14.311,258.11555,-23.36854
Ophiuchus_CLUSTER,43.551,1.405,10.803,0.654,0.654,0.01368,0.0002408,0.0002451,188.901,13.489,13.866,258.11555,-23.36854
Ophiuchus_CLUSTER,46.361,1.405,9.875,0.633,0.516,0.01216,0.0002429,0.0002479,186.71,12.074,14.714,258.11555,-23.36854
Ophiuchus_CLUSTER,49.171,1.405,9.933,0.648,0.538,0.01195,0.0002313,0.0002359,190.059,12.578,15.109,258.11555,-23.36854
Ophiuchus_CLUSTER,51.981,1.405,9.482,0.56,0.415,0.01165,0.0002212,0.0002255,184.535,10.276,13.462,258.11555,-23.36854
Ophiuchus_CLUSTER,54.79,1.405,9.158,0.389,0.389,0.01132,0.0002078,0.0002117,181.699,9.816,10.118,258.11555,-23.36854
Ophiuchus_CLUSTER,57.6,1.405,11.301,0.637,0.632,0.01132,0.0001998,0.0002034,224.206,14.994,15.519,258.11555,-23.36854
Ophiuchus_CLUSTER,60.41,1.405,11.105,0.628,0.628,0.01111,0.0001902,0.0001935,223.103,14.986,15.395,258.11555,-23.36854
Ophiuchus_CLUSTER,63.22,1.405,11.145,0.608,0.608,0.01041,0.0001884,0.0001918,233.735,15.377,15.826,258.11555,-23.36854
Ophiuchus_CLUSTER,66.03,1.405,9.821,0.601,0.513,0.0101,0.0001826,0.0001859,210.128,13.34,15.637,258.11555,-23.36854
Ophiuchus_CLUSTER,68.839,1.405,10.235,0.597,0.597,0.0109,0.000162,0.0001645,208.223,14.065,14.391,258.11555,-23.36854
Ophiuchus_CLUSTER,71.649,1.405,10.386,0.582,0.582,0.01011,0.0001618,0.0001644,222.112,14.653,15.024,258.11555,-23.36854
Ophiuchus_CLUSTER,74.459,1.405,10.087,0.598,0.574,0.009976,0.0001574,0.0001599,217.667,14.518,15.402,258.11555,-23.36854
Ophiuchus_CLUSTER,77.269,1.405,9.914,0.57,0.494,0.009054,0.0001611,0.000164,228.226,13.907,16.081,258.11555,-23.36854
Ophiuchus_CLUSTER,80.078,1.405,10.248,0.584,0.584,0.009678,0.0001459,0.0001481,225.654,14.971,15.324,258.11555,-23.36854
Ophiuchus_CLUSTER,82.888,1.405,10.198,0.557,0.557,0.009172,0.0001438,0.0001461,232.742,14.982,15.353,258.11555,-23.36854
Ophiuchus_CLUSTER,85.698,1.405,9.913,0.561,0.493,0.009703,0.0001307,0.0001324,217.909,12.675,14.451,258.11555,-23.36854
Ophiuchus_CLUSTER,88.508,1.405,9.471,0.519,0.381,0.008532,0.0001443,0.0001468,226.828,11.546,15.215,258.11555,-23.36854
Ophiuchus_CLUSTER,91.317,1.405,9.998,0.581,0.53,0.009742,0.0001208,0.0001223,219.183,13.318,14.699,258.11555,-23.36854
Ophiuchus_CLUSTER,94.127,1.405,10.812,0.577,0.577,0.008132,0.0001371,0.0001394,267.373,17.073,17.534,258.11555,-23.36854
Ophiuchus_CLUSTER,96.937,1.405,9.773,0.588,0.473,0.008635,0.0001247,0.0001265,232.201,13.34,16.404,258.11555,-23.36854
Ophiuchus_CLUSTER,99.747,1.405,10.547,0.582,0.582,0.008287,0.0001252,0.0001271,257.551,16.632,17.026,258.11555,-23.36854
Ophiuchus_CLUSTER,102.557,1.405,10.522,0.601,0.601,0.008796,0.0001174,0.000119,246.935,16.154,16.486,258.11555,-23.36854
Ophiuchus_CLUSTER,105.366,1.405,9.333,0.443,0.382,0.008837,0.000112,0.0001134,218.353,10.688,12.342,258.11555,-23.36854
Ophiuchus_CLUSTER,108.176,1.405,10.67,0.648,0.643,0.008937,0.0001123,0.0001138,247.759,16.861,17.301,258.11555,-23.36854
Ophiuchus_CLUSTER,110.986,1.405,10.347,0.62,0.62,0.008663,0.0001111,0.0001125,245.3,16.648,16.974,258.11555,-23.36854
Ophiuchus_CLUSTER,113.796,1.405,11.536,0.649,0.609,0.008761,0.0001051,0.0001063,271.457,16.366,17.616,258.11555,-23.36854
Ophiuchus_CLUSTER,116.605,1.405,10.314,0.614,0.614,0.008674,0.0001029,0.0001041,244.318,16.344,16.637,258.11555,-23.36854
Ophiuchus_CLUSTER,119.415,1.405,10.054,0.633,0.595,0.009056,9.72E-05,9.83E-05,231.41,15.239,16.365,258.11555,-23.36854
Ophiuchus_CLUSTER,122.225,1.405,10.334,0.643,0.643,0.008793,9.71E-05,9.81E-05,242.577,16.752,17.029,258.11555,-23.36854
Ophiuchus_CLUSTER,125.035,1.405,11.011,0.649,0.649,0.008763,9.45E-05,9.55E-05,259.062,17.006,17.281,258.11555,-23.36854
Ophiuchus_CLUSTER,127.844,1.405,11.083,0.63,0.63,0.008903,8.98E-05,9.08E-05,258.007,16.289,16.535,258.11555,-23.36854
Ophiuchus_CLUSTER,130.654,1.405,9.417,0.551,0.44,0.009075,8.71E-05,8.79E-05,216.452,11.423,14.157,258.11555,-23.36854
Ophiuchus_CLUSTER,133.464,1.405,10.621,0.666,0.666,0.008857,8.67E-05,8.75E-05,248.109,17.063,17.309,258.11555,-23.36854
Ophiuchus_CLUSTER,136.274,1.405,9.96,0.699,0.606,0.01127,6.89E-05,6.93E-05,198.17,12.812,14.781,258.11555,-23.36854
Ophiuchus_CLUSTER,139.084,1.405,11.204,0.768,0.759,0.008816,9.02E-05,9.11E-05,262.532,19.439,19.945,258.11555,-23.36854
Ophiuchus_CLUSTER,141.893,1.405,10.692,0.821,0.811,0.007935,4.09E-05,4.10E-05,268.765,21.236,21.639,258.11555,-23.36854
ABELL_0141,36.742,36.742,5.221,0.487,0.544,0.004915,0.0003383,0.000352,180.609,25.841,26.875,16.39327,-24.63299
ABELL_0141,91.856,18.371,5.221,0.487,0.544,0.003265,0.0003063,0.0003293,237.219,37.047,41.174,16.39327,-24.63299
ABELL_0141,128.598,18.371,5.289,0.518,0.56,0.003663,0.0001936,0.0002007,222.573,30.299,31.147,16.39327,-24.63299
ABELL_0141,165.34,18.371,5.449,0.59,0.599,0.002813,0.0001769,0.0001839,273.494,39.761,43.613,16.39327,-24.63299
ABELL_0141,202.083,18.371,5.61,0.663,0.637,0.002097,0.0001729,0.0001852,342.429,54.526,64.83,16.39327,-24.63299
ABELL_0141,238.825,18.371,5.77,0.736,0.676,0.001855,0.000148,0.0001576,382.178,61.604,75.015,16.39327,-24.63299
ABELL_0141,275.567,18.371,5.93,0.808,0.715,0.001825,0.0001139,0.0001196,397.12,61.673,75.001,16.39327,-24.63299
ABELL_0141,312.31,18.371,6.091,0.881,0.753,0.0009861,0.0001567,0.0001837,614.772,126.478,192.592,16.39327,-24.63299
ABELL_0141,349.052,18.371,6.251,0.954,0.792,0.001494,9.08E-05,9.51E-05,478.323,76.691,97.7,16.39327,-24.63299
ABELL_0141,385.794,18.371,6.411,1.026,0.83,0.001164,9.56E-05,0.0001025,579.491,100.9,135.38,16.39327,-24.63299
ABELL_0141,422.537,18.371,6.478,1.039,0.843,0.001109,8.44E-05,9.00E-05,604.76,103.852,137.755,16.39327,-24.63299
ABELL_0141,459.279,18.371,6.472,1.006,0.837,0.0008271,9.36E-05,0.0001039,734.559,139.071,193.628,16.39327,-24.63299
ABELL_0141,496.021,18.371,6.467,0.973,0.83,0.0008144,8.29E-05,9.08E-05,741.507,135.623,181.535,16.39327,-24.63299
ABELL_0141,532.764,18.371,6.461,0.94,0.824,0.0008505,7.01E-05,7.52E-05,719.765,124.041,157.186,16.39327,-24.63299
ABELL_0141,569.506,18.371,6.456,0.907,0.817,0.0005433,9.26E-05,0.0001082,969.615,207.076,312.671,16.39327,-24.63299
ABELL_0141,615.434,27.557,6.449,0.866,0.809,0.0004662,6.63E-05,7.61E-05,1072.613,214.073,297.478,16.39327,-24.63299
ABELL_0141,661.362,18.371,6.442,0.824,0.801,7.47E-05,0.0002312,6.72E-05,3632.513,2389.812,15385.424,16.39327,-24.63299
ABELL_0141,698.104,18.371,6.436,0.791,0.794,0.0006792,5.95E-05,6.42E-05,832.998,142.515,166.377,16.39327,-24.63299
ABELL_0141,734.847,18.371,6.431,0.758,0.787,0.0007307,5.38E-05,5.71E-05,792.689,129.233,142.877,16.39327,-24.63299
ABELL_0141,771.589,18.371,6.427,0.736,0.783,0.0009657,3.93E-05,4.03E-05,657.843,95.308,96.484,16.39327,-24.63299
ABELL_0141,817.517,27.557,6.427,0.736,0.783,0.000533,4.22E-05,4.51E-05,977.635,161.603,178.057,16.39327,-24.63299
ABELL_0141,872.63,27.557,6.427,0.736,0.783,0.0005945,3.34E-05,3.48E-05,909.014,139.292,145.669,16.39327,-24.63299
ABELL_0141,927.744,27.557,6.427,0.736,0.783,0.0005014,3.49E-05,3.70E-05,1018.381,163.344,176.064,16.39327,-24.63299
ABELL_0141,1010.414,55.113,6.427,0.736,0.783,0.0004512,1.38E-05,1.39E-05,1092.484,152.109,150.703,16.39327,-24.63299
ABELL_3017,17.73,17.73,4.067,0.386,0.386,0.02305,0.0009458,0.0009524,50.217,5.968,6.335,36.47117,-41.91793
ABELL_3017,44.326,8.865,4.381,0.471,0.436,0.01425,0.000786,0.0008156,74.52,9.767,11.31,36.47117,-41.91793
ABELL_3017,62.056,8.865,4.746,0.569,0.493,0.009751,0.0006631,0.0006894,103.986,14.804,18.297,36.47117,-41.91793
ABELL_3017,79.786,8.865,5.112,0.667,0.551,0.008576,0.0005154,0.0005359,122.011,17.302,21.991,36.47117,-41.91793
ABELL_3017,97.516,8.865,5.478,0.766,0.609,0.008054,0.0004068,0.0004153,136.33,19.063,24.643,36.47117,-41.91793
ABELL_3017,115.247,8.865,5.698,0.845,0.66,0.007811,0.0003087,0.0003147,144.733,20.031,26.076,36.47117,-41.91793
ABELL_3017,141.842,17.73,5.797,0.93,0.725,0.004146,0.0001922,0.0001983,224.649,33.952,44.68,36.47117,-41.91793
ABELL_3017,177.302,17.73,5.935,1.047,0.816,0.003026,0.0001649,0.0001722,283.702,47.488,63.345,36.47117,-41.91793
ABELL_3017,212.763,17.73,6.073,1.165,0.906,0.001987,0.0001665,0.0001803,384.26,74.384,103.654,36.47117,-41.91793
ABELL_3017,248.223,17.73,6.675,1.364,1.087,0.001119,0.0002094,0.0002648,619.269,156.873,273.661,36.47117,-41.91793
ABELL_3017,283.684,17.73,7.363,1.579,1.285,0.00198,0.0001009,0.0001138,466.91,94.051,122.932,36.47117,-41.91793
ABELL_3017,319.144,17.73,8.05,1.793,1.483,0.001862,-0.001341,0.001675,531.97,-482.892,2487.289,36.47117,-41.91793
ABELL_3017,354.605,17.73,8.737,2.008,1.681,0.00175,7.92E-05,9.39E-05,601.657,129.859,165.984,36.47117,-41.91793
ABELL_3017,390.065,17.73,8.856,2.006,1.706,0.001148,0.0001079,0.0001192,807.789,193.494,258.086,36.47117,-41.91793
ABELL_3017,425.526,17.73,8.749,1.918,1.662,0.001575,7.18E-05,7.53E-05,646.208,138.073,167.811,36.47117,-41.91793
ABELL_3017,469.851,26.595,8.616,1.809,1.608,0.0009627,6.81E-05,7.33E-05,883.695,196.882,243.507,36.47117,-41.91793
ABELL_3017,523.042,26.595,8.455,1.677,1.542,0.000953,6.06E-05,6.47E-05,873.035,187.94,223.413,36.47117,-41.91793
ABELL_3017,576.233,26.595,8.293,1.545,1.476,0.0008945,5.38E-05,5.63E-05,893.337,187.002,213.37,36.47117,-41.91793
ABELL_3017,638.289,35.46,8.127,1.409,1.408,0.0005493,5.02E-05,5.43E-05,1211.715,266.642,312.337,36.47117,-41.91793
ABELL_3017,709.209,35.46,8.127,1.409,1.408,0.0004584,4.62E-05,5.06E-05,1366.902,306.908,366.994,36.47117,-41.91793
ABELL_3017,788.996,44.326,8.127,1.409,1.408,0.0004693,3.07E-05,3.23E-05,1345.696,279.107,310.143,36.47117,-41.91793
ABELL_3017,877.647,44.326,8.127,1.409,1.408,0.0002447,4.55E-05,5.52E-05,2077.222,544.516,813.184,36.47117,-41.91793
ABELL_3017,984.028,62.056,8.127,1.409,1.408,0.0002202,1.50E-05,1.52E-05,2228.374,465.201,514.207,36.47117,-41.91793
RBS_0653,10.714,10.714,5.598,0.234,0.25,0.03956,0.0009873,0.0009968,48.216,2.904,2.877,82.221,-39.47098
RBS_0653,32.143,10.714,6.247,0.424,0.397,0.02188,0.000408,0.0004087,79.852,5.991,6.494,82.221,-39.47098
RBS_0653,53.571,10.714,7.472,0.782,0.675,0.01522,0.0002598,0.0002643,121.637,12.229,14.308,82.221,-39.47098
RBS_0653,75,10.714,8.531,0.714,0.722,0.009358,0.0002402,0.0002466,192.1,19.2,19.808,82.221,-39.47098
RBS_0653,96.428,10.714,8.766,0.677,0.73,0.008538,0.0001757,0.0001794,209.844,20.073,19.421,82.221,-39.47098
RBS_0653,117.857,10.714,8.375,0.664,0.709,0.006771,0.0001559,0.0001596,233.982,23.039,22.591,82.221,-39.47098
RBS_0653,139.285,10.714,7.952,0.663,0.665,0.006183,0.0001297,0.0001325,236.043,22.71,23.402,82.221,-39.47098
RBS_0653,160.714,10.714,7.505,0.672,0.603,0.004849,0.0001295,0.0001331,261.978,25.233,28.803,82.221,-39.47098
RBS_0653,182.143,10.714,7.468,0.717,0.642,0.004398,0.0001152,0.0001183,278.209,28.25,32.299,82.221,-39.47098
RBS_0653,203.571,10.714,7.759,0.791,0.762,0.004014,0.0001023,0.000105,307.209,34.771,37.341,82.221,-39.47098
RBS_0653,225,10.714,8.121,0.79,0.795,0.003064,0.0001095,0.0001136,384.964,45.706,48.197,82.221,-39.47098
RBS_0653,246.428,10.714,8.542,0.727,0.756,0.003224,9.01E-05,9.26E-05,391.439,41.127,41.64,82.221,-39.47098
RBS_0653,267.857,10.714,8.635,0.766,0.804,0.003184,7.72E-05,7.91E-05,398.964,42.866,42.719,82.221,-39.47098
RBS_0653,289.285,10.714,8.45,0.89,0.925,0.00231,8.53E-05,8.86E-05,483.578,63.218,65.069,82.221,-39.47098
RBS_0653,310.714,10.714,8.859,1.051,1.058,0.00173,9.63E-05,0.000102,614.726,92.627,101.328,82.221,-39.47098
RBS_0653,332.142,10.714,9.778,1.241,1.202,0.002117,7.22E-05,7.48E-05,593.118,84.402,91.525,82.221,-39.47098
RBS_0653,353.571,10.714,10.632,1.428,1.344,0.001721,8.00E-05,8.39E-05,740.213,112.872,127.857,82.221,-39.47098
RBS_0653,374.999,10.714,10.797,1.569,1.475,0.001861,6.59E-05,6.83E-05,713.747,111.66,124.345,82.221,-39.47098
RBS_0653,396.428,10.714,10.962,1.71,1.607,0.001446,7.39E-05,7.78E-05,857.149,149.506,170.898,82.221,-39.47098
RBS_0653,417.856,10.714,11.072,1.822,1.709,0.001405,6.76E-05,7.10E-05,882.764,159.295,181.458,82.221,-39.47098
RBS_0653,439.285,10.714,10.489,1.578,1.452,0.001288,6.71E-05,7.08E-05,885.893,148.02,172.38,82.221,-39.47098
RBS_0653,460.713,10.714,9.907,1.334,1.195,0.001372,5.83E-05,6.09E-05,802.391,116.095,136.023,82.221,-39.47098
RBS_0653,482.142,10.714,9.324,1.09,0.938,0.001104,6.56E-05,6.97E-05,872.722,117.41,145.347,82.221,-39.47098
RBS_0653,503.571,10.714,9.075,1.085,0.892,0.000919,7.24E-05,7.86E-05,960.086,137.062,180.852,82.221,-39.47098
RBS_0653,524.999,10.714,9.032,1.228,0.976,0.001288,4.99E-05,5.19E-05,762.813,99.452,127.745,82.221,-39.47098
RBS_0653,546.428,10.714,8.989,1.37,1.06,0.0006141,9.21E-05,0.0001086,1244.118,244.342,388.185,82.221,-39.47098
RBS_0653,567.856,10.714,8.945,1.512,1.144,0.0009552,5.90E-05,6.29E-05,922.321,149.503,206.04,82.221,-39.47098
RBS_0653,589.285,10.714,8.845,1.613,1.203,0.001005,5.42E-05,5.73E-05,881.601,146.115,202.386,82.221,-39.47098
RBS_0653,610.713,10.714,8.443,1.493,1.127,0.001053,5.02E-05,5.27E-05,815.545,130.437,177.684,82.221,-39.47098
RBS_0653,632.142,10.714,8.041,1.374,1.05,0.0008046,6.17E-05,6.68E-05,929.528,160.275,223.589,82.221,-39.47098
RBS_0653,653.57,10.714,7.639,1.254,0.974,0.0009078,5.27E-05,5.50E-05,814.809,130.148,174.143,82.221,-39.47098
RBS_0653,674.999,10.714,7.237,1.135,0.898,0.0007292,6.13E-05,6.59E-05,893.378,151.897,207.452,82.221,-39.47098
RBS_0653,696.427,10.714,6.836,1.015,0.822,0.0009897,4.30E-05,4.42E-05,688.288,99.688,126.674,82.221,-39.47098
RBS_0653,717.856,10.714,6.434,0.896,0.746,0.0003394,0.0001002,0.0001436,1322.279,338.5,851.53,82.221,-39.47098
RBS_0653,739.284,10.714,6.976,1.207,0.891,0.0004683,7.18E-05,8.35E-05,1156.868,239.313,390.086,82.221,-39.47098
RBS_0653,760.713,10.714,7.693,1.599,1.078,0.0006685,4.92E-05,5.32E-05,1006.286,180.997,278.106,82.221,-39.47098
RBS_0653,782.141,10.714,8.411,1.99,1.264,0.0003737,7.66E-05,9.70E-05,1621.183,404.623,828.228,82.221,-39.47098
RBS_0653,803.57,10.714,9.128,2.381,1.451,0.0006306,4.62E-05,4.90E-05,1241.25,245.293,410.576,82.221,-39.47098
RBS_0653,824.999,10.714,9.845,2.773,1.637,0.0005066,5.33E-05,5.86E-05,1549.172,340.892,605.871,82.221,-39.47098
RBS_0653,846.427,10.714,10.562,3.164,1.823,0.0005308,4.80E-05,5.28E-05,1611.228,352.873,634.02,82.221,-39.47098
RBS_0653,867.856,10.714,11.28,3.556,2.01,0.0004858,4.93E-05,5.44E-05,1825.206,418.789,773.168,82.221,-39.47098
RBS_0653,889.284,10.714,11.997,3.947,2.196,0.0005071,4.52E-05,4.88E-05,1886.549,430.669,795.778,82.221,-39.47098
RBS_0653,910.713,10.714,12.714,4.338,2.383,0.0003488,5.94E-05,7.18E-05,2565.934,688.325,1447.293,82.221,-39.47098
RBS_0653,932.141,10.714,12.765,4.366,2.396,0.0005074,4.07E-05,4.36E-05,2006.691,458.434,852.479,82.221,-39.47098
RBS_0653,953.57,10.714,12.765,4.366,2.396,0.0003916,4.88E-05,5.58E-05,2385.012,593.613,1161.457,82.221,-39.47098
RBS_0653,985.713,21.429,12.765,4.366,2.396,0.0003911,2.54E-05,2.70E-05,2386.962,527.729,972.659,82.221,-39.47098
RBS_0653,1017.855,10.714,12.765,4.366,2.396,0.0004473,3.98E-05,4.29E-05,2182.437,507.466,950.271,82.221,-39.47098
RBS_0653,1049.998,21.429,12.765,4.366,2.396,0.0004026,1.45E-05,1.48E-05,2341.244,483.776,880.436,82.221,-39.47098
ABELL_0401,3.501,3.501,9.097,0.71,0.811,0.01831,0.001873,0.00204,130.951,19.173,21.788,44.73717,13.5707
ABELL_0401,10.504,3.501,9.094,0.71,0.811,0.008985,0.001024,0.001137,210.405,32.058,37.83,44.73717,13.5707
ABELL_0401,17.507,3.501,8.215,0.729,0.678,0.006614,0.0007508,0.000834,233.144,34.032,44.54,44.73717,13.5707
ABELL_0401,24.509,3.501,7.336,0.747,0.545,0.009641,0.000361,0.0003751,161.95,15.661,21.274,44.73717,13.5707
ABELL_0401,31.512,3.501,7.968,0.62,0.603,0.007298,0.000348,0.0003655,211.775,22.012,24.432,44.73717,13.5707
ABELL_0401,38.515,3.501,8.161,0.615,0.731,0.008048,0.0002559,0.0002643,203.213,22.023,20.233,44.73717,13.5707
ABELL_0401,45.517,3.501,9.428,0.758,0.62,0.007143,0.0002315,0.0002392,254.205,21.713,26.747,44.73717,13.5707
ABELL_0401,52.52,3.501,8.391,0.628,0.616,0.007444,0.0001865,0.0001913,220.1,19.495,20.615,44.73717,13.5707
ABELL_0401,59.523,3.501,9.073,0.611,0.657,0.006556,0.0001829,0.0001881,259.021,23.124,22.862,44.73717,13.5707
ABELL_0401,66.526,3.501,8.125,0.593,0.581,0.007063,0.0001473,0.0001504,220.721,18.584,19.533,44.73717,13.5707
ABELL_0401,73.528,3.501,8.932,0.418,0.478,0.006539,0.0001405,0.0001435,255.429,17.07,15.939,44.73717,13.5707
ABELL_0401,80.531,3.501,7.708,0.494,0.439,0.005995,0.0001317,0.0001347,233.568,16.471,18.762,44.73717,13.5707
ABELL_0401,87.534,3.501,8.885,0.496,0.606,0.006046,0.0001184,0.0001208,267.726,21.465,18.774,44.73717,13.5707
ABELL_0401,94.536,3.501,8.431,0.471,0.598,0.005829,0.000111,0.0001131,260.296,21.483,18.155,44.73717,13.5707
ABELL_0401,101.539,3.501,8.173,0.503,0.539,0.005057,0.000112,0.0001145,277.42,22.052,21.606,44.73717,13.5707
ABELL_0401,108.542,3.501,8.228,0.509,0.597,0.005441,9.97E-05,0.0001016,265.98,22.268,20.026,44.73717,13.5707
ABELL_0401,115.544,3.501,7.403,0.42,0.409,0.005107,9.59E-05,9.77E-05,249.636,16.699,17.583,44.73717,13.5707
ABELL_0401,122.547,3.501,8.732,0.521,0.616,0.005289,8.72E-05,8.86E-05,287.653,23.19,20.617,44.73717,13.5707
ABELL_0401,129.55,3.501,8.01,0.505,0.507,0.004637,8.87E-05,9.05E-05,288.055,21.621,22.209,44.73717,13.5707
ABELL_0401,136.552,3.501,8.723,0.505,0.599,0.004454,8.56E-05,8.73E-05,322.228,25.91,23.18,44.73717,13.5707
ABELL_0401,143.555,3.501,8.505,0.401,0.406,0.004151,8.17E-05,8.34E-05,329.275,19.768,20.221,44.73717,13.5707
ABELL_0401,150.558,3.501,8.814,0.501,0.623,0.004156,7.97E-05,8.12E-05,340.997,28.089,24.157,44.73717,13.5707
ABELL_0401,157.561,3.501,8.716,0.491,0.581,0.003914,7.66E-05,7.82E-05,350.916,27.597,24.785,44.73717,13.5707
ABELL_0401,164.563,3.501,8.006,0.537,0.525,0.003826,7.40E-05,7.55E-05,327.267,25.343,26.622,44.73717,13.5707
ABELL_0401,171.566,3.501,9.163,0.623,0.595,0.003745,7.14E-05,7.27E-05,379.929,29.112,31.171,44.73717,13.5707
ABELL_0401,178.569,3.501,7.792,0.598,0.482,0.003732,6.84E-05,6.97E-05,323.871,23.691,29.265,44.73717,13.5707
ABELL_0401,185.571,3.501,8.054,0.527,0.613,0.003419,7.18E-05,7.33E-05,354.869,31.52,28.725,44.73717,13.5707
ABELL_0401,192.574,3.501,9.078,0.772,0.675,0.003545,6.78E-05,6.91E-05,390.432,33.565,38.798,44.73717,13.5707
ABELL_0401,199.577,3.501,8.502,0.611,0.638,0.003413,6.53E-05,6.66E-05,375.086,32.506,32.274,44.73717,13.5707
ABELL_0401,206.579,3.501,8.216,0.661,0.646,0.003513,6.15E-05,6.26E-05,355.555,31.722,33.234,44.73717,13.5707
ABELL_0401,213.582,3.501,8.477,0.497,0.531,0.003372,6.12E-05,6.23E-05,376.947,27.823,27.094,44.73717,13.5707
ABELL_0401,220.585,3.501,8.669,0.707,0.773,0.003418,5.96E-05,6.06E-05,382.082,38.054,36.12,44.73717,13.5707
ABELL_0401,227.587,3.501,8.775,0.64,0.712,0.002898,6.27E-05,6.41E-05,431.738,40.65,38.444,44.73717,13.5707
ABELL_0401,234.59,3.501,9.244,0.926,0.839,0.002709,6.50E-05,6.66E-05,475.678,49.953,56.403,44.73717,13.5707
ABELL_0401,241.593,3.501,8.164,0.648,0.798,0.002783,6.18E-05,6.32E-05,412.666,45.75,39.631,44.73717,13.5707
ABELL_0401,248.595,3.501,8.871,0.773,0.972,0.00232,7.14E-05,7.37E-05,506.25,64.488,56.082,44.73717,13.5707
ABELL_0401,255.598,3.501,7,0.457,0.587,0.00263,5.90E-05,6.03E-05,367.418,35.749,30.088,44.73717,13.5707
ABELL_0401,262.601,3.501,9.916,0.908,0.823,0.0022,6.89E-05,7.12E-05,586.3,59.608,67.874,44.73717,13.5707
ABELL_0401,269.604,3.501,9.477,1.088,0.914,0.00231,6.07E-05,6.23E-05,542.294,60.695,73.376,44.73717,13.5707
ABELL_0401,276.606,3.501,8.035,0.683,0.77,0.002243,5.72E-05,5.87E-05,468.887,51.994,48.934,44.73717,13.5707
ABELL_0401,283.609,3.501,8.535,0.743,0.735,0.002122,5.86E-05,6.03E-05,516.928,53.023,55.905,44.73717,13.5707
ABELL_0401,290.612,3.501,8.43,0.801,0.77,0.002202,5.38E-05,5.51E-05,498.126,52.72,56.626,44.73717,13.5707
ABELL_0401,297.614,3.501,7.722,0.715,0.635,0.002073,5.32E-05,5.46E-05,474.938,46.353,53.287,44.73717,13.5707
ABELL_0401,304.617,3.501,7.481,0.724,0.555,0.002162,4.88E-05,4.99E-05,447.411,39.306,50.997,44.73717,13.5707
ABELL_0401,311.62,3.501,10.227,1.212,1.128,0.001981,5.12E-05,5.26E-05,648.266,81.234,89.948,44.73717,13.5707
ABELL_0401,318.622,3.501,6.433,0.508,0.55,0.001769,5.54E-05,5.72E-05,439.76,45.775,45.229,44.73717,13.5707
ABELL_0401,325.625,3.501,9.109,0.838,0.861,0.001926,4.69E-05,4.81E-05,588.519,64.105,65.06,44.73717,13.5707
ABELL_0401,332.628,3.501,8.382,0.749,0.915,0.001953,4.57E-05,4.68E-05,536.415,65.873,57.464,44.73717,13.5707
ABELL_0401,339.63,3.501,7.541,0.83,0.569,0.001597,5.19E-05,5.37E-05,552.041,52.431,74.895,44.73717,13.5707
ABELL_0401,346.633,3.501,7.609,0.667,0.492,0.001799,4.27E-05,4.38E-05,514.396,40.731,54.354,44.73717,13.5707
