name,RA_h,RA_m,RA_s,DecSign,DecAbsDeg,DEC_m,DEC_s,RA_deg,DEC_deg,redshift,Rin,Rout,scaleR,R2500,R2500e,R500,R500e,T2500,T2500e,T500,T500e,K0,K0err,K100,K100err,spec_kT,spec_kT_err,spec_Z,spec_Z_err,Fx,Fx_err,Lx,Lx_err,LXrest,LXrest_err,LXbol,LXbol_err,radial_profile,dof,spec_X2r,max_ap,wtkT,wtkTe,wtZ,wtZe,obsIDs_good,obsIDs_all
--,h,m,s,DE-,DEd,m,s,degree,degree,--,scaleR,scaleR,--,kpc,kpc,kpc,kpc,keV,keV,keV,keV,keV cm2,keV cm2,keV cm2,keV cm2,keV,keV,Zsun,Zsun,erg/s/cm2,erg/s/cm2,erg/s,erg/s,erg/s,erg/s,erg/s,erg/s,--,--,--,arcmin,keV,keV,Zsun,Zsun,--,--
ACCEPT2 cluster name,Right Ascension J2000 (hours),Right Ascension J2000 (minutes),Right Ascension J2000 (seconds),Declination J2000 (sign),Declination J2000 (degrees),Declination J2000 (minutes),Declination J2000 (Seconds),Right Ascension J2000 (decimal degrees),Declination J2000 (decimal degrees),Redshift,Inner radius,Outer radius,Radius scale,R2500 radius,R2500 radius error,R500 radius,R500 radius error,Average temperature R2500,Average temperature R2500 error,Average temperature R500,Average temperature R500 error,Central entropy,Central entropy error,Entropy at 100kpc,Entropy at 100kpc error,Temperature,Temperature error,Metallicity,Metallicity error,--,--,--,--,--,--,--,--,--,--,--,Maximum aperature,--,--,--,--,observation ID,observation ID
CIZA_J1804.4+1002,18,4,31.4,+,10,3,25.62,271.13095,10.05712,0.152,0.3,1,R2500     ,545,27,1216,64,6.753,0.525,6.685,0.546,26.3,48.5,220.2,70.7,7.097,0.592,9.20E-02,7.50E-02,8.47E-12,2.37E-13,5.23E+44,1.46E+43,5.07E+44,1.42E+43,7.44E+44,2.08E+43,./proj_profs/CIZA_J1804.4+1002_kTZ.dat,1022,1.225,3.465,nan,nan,nan,nan,[15098]   ,[15098]
ABELL_2302,18,19,58,+,57,9,22.09,274.99175,57.15614,0.179,0.3,1,R2500     ,447,22,984,47,4.822,0.381,4.587,0.34,190.5,77.4,121,139.1,4.821,0.382,2.03E-01,9.60E-02,1.50E-12,6.22E-14,1.32E+44,5.47E+42,1.31E+44,5.43E+42,1.76E+44,7.31E+42,./proj_profs/ABELL_2302_kTZ.dat,2047,1.157,2.49,nan,nan,nan,nan,[15131  16579],[15131  16579]
MACS_J1824.3+4309,18,24,19,+,43,9,48.56,276.07919,43.16349,0.487,0.3,1,R2500     ,476,98,1072,231,7.234,2.081,7.301,2.282,nan,nan,nan,nan,7.102,2.235,6.00E-02,2.11E-01,2.31E-13,2.19E-14,2.07E+44,1.96E+43,1.94E+44,1.84E+43,2.85E+44,2.70E+43,None      ,1022,1.099,1.323,nan,nan,nan,nan,[3255]    ,[3255]
MACS_J1829.0+6913,18,29,5.6,+,69,14,7.06,277.27352,69.23529,0.203,0.3,1,R2500     ,402,20,890,51,4.058,0.308,3.877,0.342,36.4,4.1,100,8.3,4.057,0.305,3.35E-01,1.09E-01,7.13E-13,3.73E-14,8.31E+43,4.35E+42,8.34E+43,4.36E+42,1.10E+44,5.74E+42,./proj_profs/MACS_J1829.0+6913_kTZ.dat,2047,1.234,2.029,nan,nan,nan,nan,[10412  10931],[10412  10931]
MCXC_J1852.1+5711,18,52,8.6,+,57,11,41.49,283.03582,57.19486,0.109,0.3,1,R2500     ,418,20,964,50,4.027,0.304,4.146,0.345,nan,nan,168.1,13.2,4.003,0.283,2.59E-01,9.60E-02,1.51E-12,6.22E-14,4.54E+43,1.87E+42,4.55E+43,1.87E+42,5.99E+43,2.46E+42,./proj_profs/MCXC_J1852.1+5711_kTZ.dat,1022,1.345,3.532,nan,nan,nan,nan,[5749]    ,[5749]
MCXC_J1853.9+6822,18,54,2.3,+,68,22,57.72,283.50941,68.3827,0.093,0.3,1,R2500     ,423,19,901,31,4.047,0.299,3.598,0.16,76.4,14.6,198.9,33.9,4.129,0.221,1.90E-01,7.40E-02,4.78E-12,1.14E-13,1.01E+44,2.40E+42,1.01E+44,2.40E+42,1.34E+44,3.18E+42,./proj_profs/MCXC_J1853.9+6822_kTZ.dat,1022,1.199,4.132,nan,nan,nan,nan,[15121]   ,[15121]
PLCKESZ_G337.09-25.97,19,14,37.5,-,59,28,19.8,288.65638,-59.47217,0.264,0.3,1,R2500     ,563,30,1256,71,7.915,0.632,7.873,0.623,78.3,8.9,64.3,13.7,7.658,0.539,1.18E-01,7.00E-02,3.25E-12,6.87E-14,6.85E+44,1.45E+43,6.50E+44,1.37E+43,9.73E+44,2.06E+43,./proj_profs/PLCKESZ_G337.09-25.97_kTZ.dat,1022,1.181,2.328,nan,nan,nan,nan,[15135]   ,[15135]
ABELL_2319,19,21,10.7,+,43,57,5.75,290.29452,43.9516,0.056,0.3,1,R2500     ,670,17,1548,59,9.068,0.254,9.711,0.322,nan,nan,nan,nan,9.329,0.233,2.12E-01,3.60E-02,8.05E-11,6.30E-13,5.80E+44,4.54E+42,5.69E+44,4.45E+42,9.10E+44,7.12E+42,./proj_profs/ABELL_2319_kTZ.dat,1022,3.532,10.455,8.664,1.413,0.319,0.131,[3231]    ,[3231]
MACS_J1931.8-2635,19,31,49.6,-,26,34,33.07,292.95686,-26.57585,0.352,0.3,1,R2500     ,540,18,1203,51,7.96,0.332,7.907,0.36,20.7,1.4,83.3,3.8,7.871,0.33,3.55E-01,4.50E-02,2.28E-12,2.71E-14,9.42E+44,1.12E+43,8.81E+44,1.04E+43,1.33E+45,1.57E+43,./proj_profs/MACS_J1931.8-2635_kTZ.dat,1022,1.326,1.826,7.793,0.786,0.374,0.147,[9382]    ,[3282  9382]
ABELL_S0821,19,34,52.7,-,50,52,34.08,293.71966,-50.87613,0.237,0.3,1,R2500     ,511,27,1137,63,6.466,0.527,6.351,0.533,nan,nan,nan,nan,6.386,0.506,3.02E-01,7.20E-02,3.38E-12,1.08E-13,5.59E+44,1.78E+43,5.40E+44,1.72E+43,7.68E+44,2.45E+43,None      ,1022,1.108,2.284,nan,nan,nan,nan,[15120]   ,[15120]
