Cluster Name,Angular Separation (arcseconds),kpc/arcsec Scale,kpc Separation,Z Separation,Z Separation over +1,K0 (keV cm2),K0err (keV cm2)
SPT-CLJ0156-5541,17.38285955251519,8.368058894145685,145.46079248411002,0.06024590163934436,0.033108108108108165,,
SPT-CLJ2106-5844,5.3566715954751585,8.262518962998833,44.25960063617071,,,,
SPT-CLJ0151-5954,23.409686657872513,8.099250459355828,189.60091541714993,,,,
SPT-CL_J2341-5119,2.805220280406949,8.037611077274148,22.547269599992987,0.00701402805611212,0.003503503503503451,,
XMMU_J1230.3+1339,20.299747591776292,7.98991374109836,162.19323222436174,0.0037948717948718324,0.0018734177215190058,,
SPT-CLJ2345-6405,13.410234192578752,7.911559174114335,106.09586135331817,,,,
SPT-CLJ2146-4633,7.515864399197166,7.895016615997489,59.33787431524561,0.005144694533762086,0.002483186756337313,,
SPT-CLJ2034-5936,3.7722050307953623,7.863496026909945,29.662719272349037,,,,
WARP_J1226.9+3332,2.198657418411319,7.786662117820929,17.120202430009375,0.0,0.0,,
SpARCS_J161314+564930,2.581010121775794,7.734924040878678,19.963917240674792,0.0011481056257175671,0.0005344735435595943,,
SPT-CLJ0058-6145,7.364694752346635,7.61465565883481,56.07961457154733,,,,
SPT-CLJ0058-6145,7.364694752346635,7.61465565883481,56.07961457154733,,,,
XMMU_J0954+1738,5.714531591853425,7.60847496929416,43.47887057785749,0.0026570048309178503,0.0012035010940918927,,
BLOX_J1056.9-0337.3,61.79712996799523,7.59289140392767,469.218896921392,0.010449574726610027,0.004717498628634148,126.7980328,36.94521908
ClG_1137.5+6625,1.046816399981625,7.457771427741627,7.806917437874313,0.20204603580562663,0.08866442199775534,,
SPT-CL_J2337-5942,28.205510714571325,7.454307320562397,210.25254499983015,0.0028169014084506784,0.0012352610892756763,,
RCS_J2318.5+0034,,7.450834959050828,,,,,
SPT-CL_J2359-5009,5.813113309687079,7.379628680706243,42.89861770436196,0.014342105263157922,0.00619318181818183,,
SPT-CLJ0014-4952,35.772056000890856,7.35018968751442,262.9313971189363,0.006781914893617013,0.0029109589041095853,,
SPT-CLJ2259-6057,2.7739822922531925,7.342742817732819,20.36863855296015,,,,
SPT-CLJ2259-6057,2.7739822922531925,7.342742817732819,20.36863855296015,,,,
SPT-CLJ0324-6236,1.0793155691743301,7.266318524766036,7.842650714359833,0.020753424657534242,0.00875722543352601,,
WARP_J1113.0-2615,2.3775595077454614,7.246646739073026,17.229333853755715,0.0,0.0,,
SPT-CLJ2043-5035,1.098211419707086,7.238713510356105,7.949637841061042,0.0006915629322267565,0.000290191526407397,15.84805071,3.138106575
WARP_J2302.8+0843,0.8814399486517386,7.23473299702296,6.376982681404957,0.0,0.0,,
ACT-CL_J0616-5227,5.764083061619574,7.186236750156436,41.422065528364804,0.045183098591549294,0.018760233918128654,,
SPT-CLJ0310-4647,2.580139377937922,7.182133979673428,18.530906698581408,0.0036671368124117573,0.0015213575190169313,,
400d_J1221+4918,12.362608771450004,7.144777506379957,88.32808907043155,0.0014285714285714299,0.0005882352941176475,,
MACS_J0744.9+3927,0.8348941921630915,7.13636972287962,5.958113634760726,0.0014326647564469929,0.0005889281507656071,53.44326193,7.50834945
400d_J0405-4100,8.430950885289803,7.085098209474446,59.73411502153378,,,,
400d_J1202+5751,55.44128405825543,7.04570208740875,390.6227708178717,0.0014771048744460869,0.0005963029218843177,,
SPT-CLJ0352-5647,8.513852519997187,7.01449145610258,59.72034576003769,0.03201492537313445,0.012844311377245558,,
LCDCS_0954,5.7486362692287285,7.01449145610258,40.323759994746325,0.0,0.0,,
SPT-CLJ2218-4519,5.575717364541157,6.922505748763987,38.597935509519345,,,,
SPT-CLJ2218-4519,5.118259036594619,6.922505748763987,35.43117760448948,,,,
RDCS_J0542-4100,2.357830470028612,6.874910494430281,16.209873442487186,0.0026562500000000544,0.0010365853658536796,,
SPT-CLJ0243-5930,1.502011308434814,6.850702599669427,10.289832775427257,0.0020472440944881384,0.000795107033639124,,
SPT-CLJ0426-5455,49.34980412376377,6.826217425451062,336.8724928522329,,,,
SPT-CLJ0123-4821,8.971745130460382,6.776403739216813,60.796167249351974,0.054838709677419405,0.020987654320987672,,
SPT-CL_J0417-4748,0.9072521568998736,6.776403739216813,6.147906908428823,0.06385322580645159,0.024437654320987642,,
SPT-CL_J2344-4243,0.9368255891830745,6.776403739216813,6.34830842553418,0.03532258064516134,0.013518518518518537,,
SPT-CL_J0559-5249,24.591874737402446,6.7305940202294785,165.51792505379328,0.0009819967266774697,0.000372439478584689,,
WARP_J1120.1+4318,16.34147512581471,6.673320637326125,109.05190320145084,0.01833333333333335,0.006875000000000006,,
SPT-CLJ2232-5959,0.8985166535498047,6.641474657667,5.967475584042787,0.002769360269360282,0.0010319949811794277,,
400d_J0328-2140,10.29552580770277,6.620002904655425,68.15641075194722,0.0,0.0,,
MACS_J2129-0741,6.440839528303199,6.6146045986881985,42.603606763327065,0.0016977928692699506,0.0006293266205160484,,
400d_J0956+4107,1.978464762195173,6.603771368347408,13.065328949868746,0.005110732538330499,0.0018903591682419678,,
MACS_J0025.4-1222,35.50905772040994,6.587429594986481,233.91341771751163,0.0017123287671232893,0.0006313131313131318,149.8153377,20.3617204
SDSS_J1029+2623,5.17046737144462,6.587429594986481,34.06008978256625,0.002568493150685029,0.0009469696969697328,,
SPT-CLJ2245-6206,38.22068869955997,6.5654678897606225,250.9367043814977,,,,
SPT-CLJ0256-5617,1.4761351625802923,6.5654678897606225,9.691518010867485,,,,
