#Name                                       RA                  Dec          z         K0       K100      alpha        Tcl       Lbol    UL?        LHa    UL?       Lrad
#--                                      h:m:s                d:m:s         --   keV.cm^2   keV.cm^2         --        keV    erg/sec     --    erg/sec     --    erg/sec
ABELL_1204                        11:13:20.419         +17:35:38.45     0.1706      15.31      81.83       1.40       3.78      3.980      =      6.380      <      2.220
ABELL_1240                        11:23:38.357         +43:05:48.33     0.1590     462.40       8.27       2.37       4.77      0.000      ?      0.000      <      1.510
ABELL_1361                        11:43:39.637         +46:21:20.41     0.1171      18.64     117.86       1.06       4.08      2.390      =      7.750      =    267.000
ABELL_1413                        11:55:17.893         +23:24:21.84     0.1426      64.03     123.19       1.19       8.90     10.200      <      2.380      <      1.600
ABELL_1423                        11:57:17.263         +33:36:37.44     0.2130      68.32     124.17       1.20       8.50      7.070      <      5.620      <      4.600
ABELL_1446                        12:02:03.744         +58:02:17.93     0.1035     152.38     119.50       0.67       4.00      0.000      ?      0.000      <      0.594
ABELL_1569                        12:36:26.015         +16:32:17.81     0.0735     110.10     149.14       0.51       2.51      0.000      ?      0.000      <      0.287
ABELL_1576                        12:36:58.274         +63:11:13.88     0.2790     186.24      98.35       1.38       8.65     31.600      ?      0.000      =     39.400
ABELL_1644                        12:57:11.665         -17:24:32.86     0.0471      19.03     585.67       1.76       4.60      0.000      =      0.522      =      5.630
ABELL_1650                        12:58:41.499         -01:45:44.32     0.0843      37.96     159.89       0.84       5.89      4.370      <      0.050      <      0.484
ABELL_1651                        12:59:22.830         -04:11:45.86     0.0840      89.46     115.53       0.97       7.00      6.710      <      0.781      <      0.852
ABELL_1664                        13:03:42.622         -24:14:41.59     0.1276      14.40     141.84       1.70       3.50      3.150      ?      0.000      =     17.100
ABELL_1689                        13:11:29.612         -01:20:28.69     0.1843      78.44     111.77       1.35      10.10     28.100      <      0.280      <      2.640
ABELL_1736                        13:26:49.453         -27:09:48.13     0.0338     150.35     127.25       0.99       3.45      3.470      <      0.007      <      0.072
ABELL_1758                        13:32:48.398         +50:32:32.53     0.2792     230.84     144.04       1.21       7.95     21.100      <     10.200      <      6.760
ABELL_1763                        13:35:17.957         +40:59:55.80     0.1866     214.69      70.80       1.37       6.90      9.330      <      4.220      <      2.710
ABELL_1795                        13:48:52.802         +26:35:23.55     0.0625      18.99     130.38       1.18       7.80      7.810      =      8.770      =     95.200
ABELL_1835                        14:01:01.951         +02:52:43.18     0.2532      11.44     111.71       1.26       7.65     39.600      =    504.000      =     84.900
ABELL_1914                        14:26:03.060         +37:49:27.84     0.1712     107.16     131.15       1.05      10.50     26.400      <      3.510      <      2.240
ABELL_1942                        14:38:21.878         +03:40:12.97     0.2240     107.73     194.08       0.66       5.12      2.300      <      6.280      =   1220.000
