#Name                                       RA                  Dec          z         K0       K100      alpha        Tcl       Lbol    UL?        LHa    UL?       Lrad
#--                                      h:m:s                d:m:s         --   keV.cm^2   keV.cm^2         --        keV    erg/sec     --    erg/sec     --    erg/sec
RX_J0232.2-4420                   02:32:18.771         -44:20:46.68     0.2836      44.62     166.53       1.16       7.84     18.300      ?      0.000      <     12.600
RX_J0439+0520                     04:39:02.218         +05:20:43.11     0.2080      14.92      95.47       1.19       4.63      3.610      =     68.700      =     89.500
RX_J0439.0+0715                   04:39:00.710         +07:16:07.65     0.2300      66.75     129.57       1.06       6.50      9.560      <      6.650      <      4.340
RX_J0528.9-3927                   05:28:53.039         -39:28:15.53     0.2632      72.85      99.80       1.47       9.77     13.100      ?      0.000      =     11.100
RX_J0647.7+7015                   06:47:50.029         +70:14:49.66     0.5840     225.06      48.82       1.70       9.07     26.700      ?      0.000      <     39.100
RX_J0819.6+6336                   08:19:26.007         +63:37:26.53     0.1190      20.69     170.57       0.68       3.90      1.120      ?      0.000      =     11.000
RX_J1000.4+4409                   10:00:32.024         +44:08:39.69     0.1540      27.71     151.10       1.09       3.42      0.000      =      1.300      <      1.410
RX_J1022.1+3830                   10:22:10.034         +38:31:23.54     0.0491      51.60     194.76       1.04       3.04      0.000      ?      0.000      <      0.124
RX_J1130.0+3637                   11:30:02.789         +36:38:08.26     0.0600      29.93     149.60       1.14       2.02      0.000      ?      0.000      <      0.188
RX_J1320.2+3308                   13:20:14.650         +33:08:33.06     0.0366       8.80     140.28       1.28       1.01      0.000      =      0.212      =      2.240
RX_J1347.5-1145                   13:47:30.593         -11:45:10.05     0.4510      12.45     179.86       1.06      10.88    101.000      ?      0.000      =    384.000
RX_J1423.8+2404                   14:23:47.759         +24:04:40.45     0.5450      10.23     119.91       1.27       5.92     16.000      ?      0.000      =    106.000
RX_J1504.1-0248                   15:04:07.415         -02:48:15.70     0.2150      13.08      95.58       1.50       8.90     34.900      ?      0.000      =     90.200
RX_J1532.9+3021                   15:32:53.781         +30:20:58.72     0.3450      16.93      76.31       1.51       5.44     21.000      =    473.000      =    101.000
RX_J1539.5-8335                   15:39:32.485         -83:35:23.83     0.0728      25.88     109.99       1.41       3.81      0.000      ?      0.000      =      3.920
RX_J1720.1+2638                   17:20:09.941         +26:37:29.11     0.1640      21.03     109.14       1.39       5.55     11.500      =      7.600      =     71.400
RX_J1720.2+3536                   17:20:16.953         +35:36:23.63     0.3913      24.00      94.44       1.42       5.65     13.100      ?      0.000      =    107.000
RX_J1852.1+5711                   18:52:08.815         +57:11:42.63     0.1094      18.72     170.36       0.83       3.44      0.000      ?      0.000      =     13.600
RX_J2129.6+0005                   21:29:39.944         +00:05:18.83     0.2350      21.14      97.91       1.26       6.10     12.700      ?      0.000      =     46.300
SC_1327-312                       13:29:47.748         -31:36:23.54     0.0531      64.57     160.82       0.81       3.53      3.160      ?      0.000      <      0.145
SERSIC_159-03                     23:13:58.764         -42:43:34.70     0.0580      10.45      77.78       1.17       2.65      1.100      =      3.540      =     18.700
SS2B153                           10:50:26.125         -12:50:41.76     0.0186       1.12      71.35       0.80       0.80      0.000      ?      0.000      =      0.216
UGC_03957                         07:40:58.335         +55:25:38.30     0.0341      12.88     175.07       0.98       2.96      0.000      ?      0.000      =      1.230
UGC_12491                         23:18:38.311         +42:57:29.06     0.0174       2.99     148.48       1.12       0.87      0.000      ?      0.000      =      0.020
ZWCL_1215                         12:17:41.708         +03:39:15.81     0.0750     163.23     131.29       1.00       3.00      3.520      ?      0.000      <      0.378
ZWCL_1358+6245                    13:59:50.526         +62:31:04.57     0.3280      20.67      97.97       1.43       7.20     12.500      =    129.000      <      7.800
ZWCL_1742                         17:44:14.515         +32:59:29.68     0.0757      23.84     126.53       1.30       4.40      0.000      ?      0.000      =     11.100
ZWCL_1953                         08:50:06.677         +36:04:16.16     0.3800     194.53      62.12       1.39      14.50     17.300      ?      0.000      <     10.800
ZWCL_3146                         10:23:39.735         +04:11:08.05     0.2900      11.42     105.48       1.29      12.80     29.800      =    582.000      =     21.000
ZWICKY_2701                       09:52:49.183         +51:53:05.27     0.2100      39.66     126.00       1.45       4.44      5.240      =      5.410      =     20.500
ZwCl_0857.9+2107                  09:00:36.835         +20:53:40.36     0.2350      24.25      89.27       1.40      12.10      0.000      ?      0.000      =     13.000
