,Name , K0 , err_minus , err_plus , K100 , err_minus .1, err_plus .1, alpha , err_minus .2, err_plus,Name,z,c500,err.7,c,err.8,K_fit_range,RA,DEC,
37,ABELL_0550,120.2468801,24.38474436,24.38474436,102.0038113,32.61469902,32.61469902,1.013810598,0.180704792,0.180704792,ABELL_0550,0.099,2.098,0.258,7.009,0.351,0,5:52:51.539       ,-21:03:13.04      ,
26,ABELL_0562,122.5373763,34.17694254,34.17694254,82.46872891,77.21965622,77.21965622,0.760617603,0.497689629,0.497689629,ABELL_0562,0.11,4.05,0.425,-,-,0,6:53:21.523       ,69:19:51.20       ,
89,ABELL_0576,63.84211882,7.638114159,7.638114159,204.1508211,14.40054717,14.40054717,1.295015572,0.199876129,0.199876129,ABELL_0576,0.0389,1.854,0.115,3.935,0.096,18,7:21:30.394       ,55:45:41.94       ,
101,ABELL_0578,16.57594366,48.22814922,48.22814922,216.2525488,74.41013709,74.41013709,0.643894573,0.368596826,0.368596826,ABELL_0578,0.0866,-,-,-,-,0,7:24:53.510       ,66:59:07.42       ,
22,ABELL_0586,116.1097722,10.28552542,10.28552542,67.37858499,10.67643356,10.67643356,1.443111748,0.091627912,0.091627912,ABELL_0586,0.171,3.421,0.186,10.512,0.313,0,7:32:20.340       ,31:37:58.58       ,
88,ABELL_0598,8.320260365,2.292714279,2.292714279,144.9031954,7.307025873,7.307025873,1.133560778,0.082005878,0.082005878,ABELL_0598,0.1894,10.003,0.464,22.98,0.854,5,7:51:24.101       ,17:30:53.00       ,
62,ABELL_0611,63.67293577,8.437371355,8.437371355,112.9990517,14.63139479,14.63139479,1.240808724,0.111098075,0.111098075,ABELL_0611,0.288,8.593,0.269,11.491,0.32,0,8:00:56.832       ,36:03:24.08       ,
175,ABELL_0644,70.2403013,6.441265488,6.441265488,114.3653315,8.615454285,8.615454285,1.049215964,0.04729527,0.04729527,ABELL_0644,0.0704,1.666,0.064,8.213,0.09,0,8:17:25.224       ,-7:30:40.03       ,
256,ABELL_0697,229.6453803,22.63904763,22.63904763,54.66323612,16.88952239,16.88952239,1.619576098,0.148221881,0.148221881,ABELL_0697,0.282,9.933,0.314,4.409,0.213,0,8:42:57.550       ,36:21:57.64       ,
206,ABELL_0773,179.0965143,21.3640142,21.3640142,64.05340217,17.28761561,17.28761561,1.388091868,0.130439798,0.130439798,ABELL_0773,0.217,3.256,0.166,5.807,0.21,0,9:17:52.567       ,51:43:38.17       ,
192,ABELL_0795,27.92727248,3.477290162,3.477290162,115.7447069,6.808909559,6.808909559,1.085365378,0.058968914,0.058968914,ABELL_0795,0.1359,5.233,0.196,19.906,0.435,0,9:24:05.777       ,14:10:25.07       ,
