,Name , K0 , err_minus , err_plus , K100 , err_minus .1, err_plus .1, alpha , err_minus .2, err_plus,Name,z,c500,err.7,c,err.8,K_fit_range,RA,DEC,
208,ABELL_2734_NED01,25.69182371,17.05060968,17.05060968,153.9768551,24.19244013,24.19244013,0.578175078,0.07781177,0.07781177,ABELL_2734_NED01,0.0753,4.098,0.167,34.406,0.851,0,0:11:21.624       ,-28:51:14.44      ,
165,ABELL_2744,151.7160641,90.74891151,90.74891151,240.9492839,140.3991569,140.3991569,0.479658268,0.240103787,0.240103787,ABELL_2744,0.308,1.576,0.085,2.735,0.079,25,0:14:19.529       ,-30:23:30.23      ,
18,ABELL_2813,136.338408,22.77972945,22.77972945,65.15176804,32.80102525,32.80102525,1.403063633,0.287090591,0.287090591,ABELL_2813,0.2924,4.585,0.293,6.477,0.349,0,0:43:24.881       ,-20:37:25.07      ,
216,ABELL_2895,168.687479,33.93110444,33.93110444,90.11064484,37.84252266,37.84252266,1.130065693,0.193611236,0.193611236,ABELL_2895,0.227,6.357,0.364,6.333,0.363,0,1:18:11.262       ,-26:57:54.93      ,
2,ABELL_3017,36.91575937,7.731014124,7.731014124,109.8482901,14.71623959,14.71623959,1.258413485,0.085612297,0.085612297,ABELL_3017,0.2195,11.917,0.564,10.9,0.551,0,2:25:53.081       ,-41:55:04.56      ,
211,ABELL_3088,20.39011203,9.298269741,9.298269741,178.1490027,18.19649221,18.19649221,0.885832987,0.073665409,0.073665409,ABELL_3088,0.2534,11.695,0.457,11.644,0.455,0,3:07:01.733       ,-28:39:55.48      ,
121,ABELL_3094,31.06338224,66.81775373,66.81775373,225.5363382,83.17306999,83.17306999,0.399293827,0.16912919,0.16912919,ABELL_3094,0.0677,1.882,0.327,-,-,0,3:11:35.879       ,-26:53:55.53      ,
340,ABELL_3120,17.50434053,5.899682648,5.899682648,153.472682,12.13569352,12.13569352,0.98158126,0.122287203,0.122287203,ABELL_3120,0.069,-,-,-,-,0,3:21:56.465       ,-51:19:35.40      ,
171,ABELL_3126,158.2219142,13.32203218,13.32203218,50.46947415,14.48856289,14.48856289,1.725257231,0.167236587,0.167236587,ABELL_3126,0.0856,2.315,0.225,13.518,0.566,0,3:28:36.565       ,-55:43:04.78      ,
12,ABELL_3128,12.12847441,60.72555295,60.72555295,200.4714831,72.73959752,72.73959752,0.340904219,0.215487627,0.215487627,ABELL_3128,0.0599,2.986,0.355,6.519,0.398,0,3:29:50.514       ,-52:34:48.33      ,
217,ABELL_3140,91.66667124,6.967277809,6.967277809,194.2281119,16.03277323,16.03277323,1.808125658,0.124228915,0.124228915,ABELL_3140,0.062,-,-,27.76,0.899,0,3:36:15.636       ,-40:37:42.68      ,
236,ABELL_3292,108.1164434,10.1911141,10.1911141,35.72382939,10.66225641,10.66225641,1.693734823,0.167779591,0.167779591,ABELL_3292,0.1723,2.579,0.292,22.003,1.099,0,4:49:56.189       ,-44:40:21.16      ,
179,ABELL_3322,104.6131418,17.63720475,17.63720475,77.06010154,21.05772892,21.05772892,1.195528598,0.146823034,0.146823034,ABELL_3322,0.2,6.664,0.403,8.97,0.477,0,5:10:16.916       ,-45:19:16.24      ,
242,ABELL_3343,163.7573293,19.79404798,19.79404798,46.14995117,19.91496769,19.91496769,1.601582177,0.225448958,0.225448958,ABELL_3343,0.1913,4.813,0.33,10.358,0.518,0,5:25:48.712       ,-47:15:10.19      ,
83,ABELL_3364,205.0187591,17.03683058,17.03683058,42.81989236,17.14328833,17.14328833,1.635363373,0.206228786,0.206228786,ABELL_3364,0.1483,3.588,0.191,6.434,0.245,0,5:47:37.697       ,-31:52:23.63      ,
312,ABELL_3378,8.527680874,3.136190174,3.136190174,120.2483356,6.80753217,6.80753217,0.910262982,0.060338965,0.060338965,ABELL_3378,0.141,6.036,0.377,14.541,0.498,5,6:05:53.987       ,-35:18:08.09      ,
309,ABELL_3391,203.1511794,29.56902403,29.56902403,122.6349056,45.8097312,45.8097312,0.916578013,0.227567818,0.227567818,ABELL_3391,0.0514,2.067,0.144,11.184,0.332,0,6:26:21.511       ,-53:41:44.81      ,
266,ABELL_3395_SW,190.1176023,25.74089857,25.74089857,99.60656612,44.49679385,44.49679385,1.376146919,0.34405183,0.34405183,ABELL_3395_SW,0.051,1.969,0.194,-,-,14,6:26:48.463       ,-54:32:59.21      ,
68,ABELL_3399,59.43485922,16.44119629,16.44119629,164.3591254,25.19529515,25.19529515,0.867106642,0.077934205,0.077934205,ABELL_3399,0.2026,4.443,0.394,8.658,0.486,0,6:37:14.511       ,-48:28:18.76      ,
323,ABELL_3404,95.05543433,18.87891252,18.87891252,119.8330944,26.79425409,26.79425409,1.079952273,0.140734168,0.140734168,ABELL_3404,0.167,7.227,0.318,7.861,0.331,5,6:45:29.015       ,-54:13:43.13      ,
166,ABELL_3411,194.0207,24.31694917,24.31694917,76.51420281,25.81559517,25.81559517,1.275239204,0.179342863,0.179342863,ABELL_3411,0.1687,1.669,0.204,7.63,0.363,10,8:41:51.927       ,-17:27:45.62      ,
71,ABELL_3444,20.76242033,1.805128244,1.805128244,94.19023302,4.674660536,4.674660536,1.339970209,0.044983249,0.044983249,ABELL_3444,0.2533,7.859,0.169,14.622,0.229,0,10:23:50.196      ,-27:15:23.76      ,
142,ABELL_3528B,15.26070757,2.68324422,2.68324422,218.8016537,8.799554243,8.799554243,1.157415726,0.060776589,0.060776589,ABELL_3528B,0.053,12.611,0.541,-,-,0,12:54:22.250      ,-29:00:39.82      ,
230,ABELL_3532,150.769862,20.30490747,20.30490747,83.65107026,29.75688723,29.75688723,1.251458894,0.24861706,0.24861706,ABELL_3532,0.0554,2.668,0.229,191.549,7.847,0,12:57:22.326      ,-30:21:45.30      ,
290,ABELL_3558,49.87714218,14.91062014,14.91062014,194.0692898,20.75983682,20.75983682,0.771782213,0.094200665,0.094200665,ABELL_3558,0.048,2.358,0.089,3.342,0.07,0,13:27:56.854      ,-31:29:43.76      ,
274,ABELL_3560,40.38267481,61.46440876,61.46440876,198.6953192,85.10923609,85.10923609,0.366506222,0.251349154,0.251349154,ABELL_3560,0.0489,2.189,0.248,10.298,0.517,3,13:32:25.714      ,-33:08:09.60      ,
77,ABELL_3562,70.59170171,12.78581314,12.78581314,144.2238709,18.70899311,18.70899311,0.942135593,0.10119914,0.10119914,ABELL_3562,0.049,1.919,0.166,8.053,0.221,0,13:33:37.800      ,-31:40:12.04      ,
58,ABELL_3571,59.96382552,13.81664183,13.81664183,210.881298,14.70507262,14.70507262,0.698522414,0.151273799,0.151273799,ABELL_3571,0.0391,1.788,0.048,2.538,0.027,11,13:47:28.433      ,-32:51:52.45      ,
10,ABELL_3581,8.670224563,0.667053029,0.667053029,183.1906437,51.95119298,51.95119298,1.380176907,0.149907516,0.149907516,ABELL_3581,0.023,4.986,0.147,7.944,0.07,26,14:07:29.777      ,-27:01:05.88      ,
86,ABELL_3653,174.8214381,44.38246386,44.38246386,172.2740262,103.0313059,103.0313059,1.18365019,0.516642635,0.516642635,ABELL_3653,0.1089,-,-,-,-,0,19:53:02.960      ,-52:02:08.82      ,
145,ABELL_3695,307.1827832,36.6175965,36.6175965,41.78477848,35.30894451,35.30894451,1.562355139,0.278495509,0.278495509,ABELL_3695,0.0894,2.053,0.284,10.46,0.735,0,20:34:45.220      ,-35:48:40.30      ,
159,ABELL_3739,81.93557204,38.1486927,38.1486927,150.9539551,60.83312862,60.83312862,0.823963897,0.201925058,0.201925058,ABELL_3739,0.1651,3.545,0.333,9.056,0.553,0,21:04:19.151      ,-41:20:41.53      ,
103,ABELL_3809,10.27662856,3.843984838,3.843984838,132.9561347,8.31856984,8.31856984,0.867326771,0.05916281,0.05916281,ABELL_3809,0.0623,3.983,0.434,-,-,0,21:46:59.094      ,-43:53:54.49      ,
218,ABELL_3827,133.7258559,15.26395569,15.26395569,102.4135418,22.40490834,22.40490834,1.118241127,0.185506088,0.185506088,ABELL_3827,0.0984,1.647,0.067,6.318,0.074,20,22:01:53.201      ,-59:56:43.04      ,
325,ABELL_3854,103.5131467,18.15432944,18.15432944,96.94610648,24.92915009,24.92915009,1.201331904,0.151470917,0.151470917,ABELL_3854,0.1492,4.309,0.368,11.787,0.584,0,22:17:45.749      ,-35:43:26.81      ,
21,ABELL_3880,0.852947986,0.949832236,0.949832236,139.1510793,4.029465095,4.029465095,0.890291885,0.031711453,0.031711453,ABELL_3880,0.0584,5.936,0.279,43.486,1.017,0,22:27:54.559      ,-30:34:34.82      ,
308,ABELL_3911,338.3805425,36.85063677,36.85063677,27.57848169,34.61768961,34.61768961,1.606591217,0.276353203,0.276353203,ABELL_3911,0.0965,1.627,0.213,4.205,0.31,0,22:46:15.331      ,-52:43:27.07      ,
57,ABELL_3921,75.1187525,14.84667562,14.84667562,162.5206904,20.74577911,20.74577911,0.786921016,0.07311522,0.07311522,ABELL_3921,0.0928,2.242,0.138,7.405,0.176,0,22:49:57.828      ,-64:25:42.17      ,
114,ABELL_S0295,165.9385756,21.5886262,21.5886262,36.24849846,26.52563564,26.52563564,1.560122264,0.278861139,0.278861139,ABELL_S0295,0.3,3.326,0.272,5.576,0.34,0,2:45:26.452       ,-53:01:46.85      ,
163,ABELL_S0463,117.4694868,23.5729668,23.5729668,100.2039245,44.89046657,44.89046657,1.076176916,0.410792624,0.410792624,ABELL_S0463,0.0394,18.787,3.778,-,-,0,4:28:37.425       ,-53:50:30.50      ,
306,ABELL_S0520,320.1325294,39.83769486,39.83769486,30.75670323,30.49411155,30.49411155,1.65611564,0.233451503,0.233451503,ABELL_S0520,0.2952,2.639,0.255,3.202,0.28,0,5:16:37.711       ,-54:30:47.30      ,
6,ABELL_S0579,129.9660214,24.0110376,24.0110376,68.50132407,26.9668654,26.9668654,1.133956511,0.184939458,0.184939458,ABELL_S0579,0.152,2.553,0.338,12.199,0.752,0,6:16:32.139       ,-39:47:48.63      ,
299,ABELL_S0592,30.59350661,7.827312168,7.827312168,141.1633219,13.22316738,13.22316738,0.915344817,0.073161738,0.073161738,ABELL_S0592,0.2216,6.119,0.227,8.377,0.26,0,6:38:48.610       ,-53:58:26.33      ,
24,ABELL_S0780,20.93321052,1.310558746,1.310558746,114.0841106,10.97497815,10.97497815,1.817181299,0.12808882,0.12808882,ABELL_S0780,0.2357,8.026,0.206,16.611,0.286,25,14:59:28.817      ,-18:10:43.49      ,
214,ABELL_S1063,78.78451225,19.91261078,19.91261078,127.406501,31.16253652,31.16253652,0.867907198,0.166104283,0.166104283,ABELL_S1063,0.3475,5.317,0.159,6.299,0.171,15,22:48:44.294      ,-44:31:48.36      ,
72,ABELL_S1101,11.52628718,0.499068999,0.499068999,77.47997716,1.225756043,1.225756043,1.127300033,0.01803925,0.01803925,ABELL_S1101,0.058,1.939,0.058,28.351,0.178,0,23:13:58.764      ,-42:43:34.72      ,
82,ARP_318,5.358696842,0.209582238,0.209582238,157.7404161,311.6251478,311.6251478,1.810070001,0.140613094,0.140613094,ARP_318,0.0132,-,-,19.492,1.105,0,2:09:38.283       ,-10:08:45.19      ,
173,AWM_4,24.47362215,5.366493631,5.366493631,108.4641928,6.62465891,6.62465891,0.654836183,0.093504311,0.093504311,AWM_4,0.0318,2.488,0.112,12.667,0.203,0,16:04:56.486      ,23:56:02.44       ,
283,BLOX_J1023.6+0411.1,8.94693467,0.960025551,0.960025551,106.9582831,3.162183794,3.162183794,1.216041729,0.026369283,0.026369283,BLOX_J1023.6+0411.1,0.2906,7.217,0.113,12.255,0.137,0,10:23:39.734      ,4:11:08.05       ,
302,BLOX_J1056.9-0337.3,126.7980328,36.94521908,36.94521908,87.75013781,78.52259001,78.52259001,1.247778427,0.486964702,0.486964702,BLOX_J1056.9-0337.3,0.8231,14.37,1.122,16.11,1.219,12,10:56:55.916      ,-3:37:39.85      ,
95,Centaurus_Cluster,0.873481955,0.025961289,0.025961289,324.9061559,3.843094122,3.843094122,1.197662223,0.005470634,0.005470634,Centaurus_Cluster,0.0114,2.934,0.04,6.137,0.022,22,12:48:49.267      ,-41:18:39.53      ,
138,CGCG_514-050,0.931888027,2.216971357,2.216971357,547.8042666,279.5880348,279.5880348,0.930563116,0.162659541,0.162659541,CGCG_514-050,0.0171,15.386,0.983,-,-,27,22:31:20.527      ,39:21:31.26       ,
265,CIZA_J0107.7+5408,305.4753578,45.98310374,45.98310374,66.09527385,52.33309168,52.33309168,1.106977282,0.300406569,0.300406569,CIZA_J0107.7+5408,0.1066,1.671,0.112,3.498,0.134,0,1:07:45.139       ,54:07:57.61       ,
40,CIZA_J0616.3-2156,234.5265244,60.54433466,60.54433466,117.4173367,92.76189217,92.76189217,0.85388568,0.289637607,0.289637607,CIZA_J0616.3-2156,0.171,2.933,0.289,6.75,0.425,0,6:16:24.787       ,-21:56:17.90      ,
41,CIZA_J1804.4+1002,26.2681311,48.51267254,48.51267254,220.2244202,70.70236008,70.70236008,0.494055348,0.133661544,0.133661544,CIZA_J1804.4+1002,0.1525,3.948,0.256,6.61,0.299,0,18:04:31.362      ,10:03:24.63       ,
267,CIZA_J1938.3+5409,82.491668,12.54479756,12.54479756,63.25637887,15.55744072,15.55744072,1.427288283,0.154881273,0.154881273,CIZA_J1938.3+5409,0.26,5.796,0.31,8.935,0.393,0,19:38:18.424      ,54:09:34.85       ,
153,Cl_0016+16,165.4635935,19.83432198,19.83432198,56.1677155,16.00444961,16.00444961,1.318779653,0.126374388,0.126374388,Cl_0016+16,0.541,3.664,0.185,4.281,0.196,0,0:18:33.504       ,16:26:12.98       ,
11,ClG_2153.8+3746,55.18910806,6.284142828,6.284142828,325.0212321,34.31669147,34.31669147,1.707858974,0.178412961,0.178412961,ClG_2153.8+3746,0.292,5.266,0.177,8.454,0.167,28,21:55:52.284      ,38:00:22.66       ,
220,ESO_351-_G_021,3.731300186,0.864847467,0.864847467,104.9656555,6.87969335,6.87969335,0.941898342,0.056355721,0.056355721,ESO_351-_G_021,0.0571,10.651,0.664,-,-,0,0:54:59.837       ,-35:19:15.23      ,
246,ESO_552-_G_020,-6.756358797,7.225527285,7.225527285,206.1965909,10.816129,10.816129,0.609273543,0.08118817,0.08118817,ESO_552-_G_020,0.0314,6.255,0.443,-,-,0,4:54:52.318       ,-18:06:56.52      ,
190,ESO3060170-A,2.005363378,1.514701351,1.514701351,441.2290347,108.0295237,108.0295237,1.170306061,0.125505191,0.125505191,ESO3060170-A,0.0358,4.991,0.258,17.138,0.362,56,5:40:06.686       ,-40:50:12.80      ,
109,FBQS_J074417.4+375317,-18.9501769,10.38046651,10.38046651,163.8061402,19.68395115,19.68395115,0.802159229,0.094369147,0.094369147,FBQS_J074417.4+375317,1.0686,51.148,1.269,56.2,1.388,0,7:44:17.381       ,37:53:16.11    ,
39,Fornax_Cluster,0.346209612,0.066151847,0.066151847,274.256936,7.90027312,7.90027312,0.917927204,0.011106436,0.011106436,Fornax_Cluster,0.0046,9.427,0.286,11.284,0.178,0,3:38:28.887       ,-35:26:59.65      ,
29,G139.59+24.18,32.80077881,8.951687962,8.951687962,150.9930737,18.54408176,18.54408176,1.244209524,0.247064642,0.247064642,G139.59+24.18,0.27,9.37,0.408,10.962,0.437,13,6:21:48.992       ,74:42:05.05       ,
117,GALEX_J094712.4+762313,25.08675322,1.567618458,1.567618458,75.23224248,4.847197658,4.847197658,1.915002012,0.059409832,0.059409832,GALEX_J094712.4+762313,0.3541,12.999,0.266,17.644,0.324,14,9:47:12.694       ,76:23:13.42   ,
210,GMBCG_J029.95560-08.83299,-10.80526572,5.841738625,5.841738625,217.8502452,13.76551217,13.76551217,0.837097682,0.049449077,0.049449077,GMBCG_J029.95560-08.83299,0.322,10.434,0.249,13.696,0.288,0,1:59:49.452       ,-8:50:00.89,
343,GMBCG_J215.94948+24.07846,5.560099115,3.402985957,3.402985957,132.5812457,7.921233246,7.921233246,1.167451087,0.105463176,0.105463176,GMBCG_J215.94948+24.07846,0.5431,10.612,0.243,19.214,0.34,14,14:23:47.760      ,24:04:40.44,
#53,HCG_037,2.267388904,1.279997453,1.279997453,503.3511302,339.9284317,339.9284317,1.180481735,0.197800161,0.197800161,HCG_037,0.0223,0.171,0.016,33.864,6.55,0,,,
300,HCG_042,1.713830366,0.342457741,0.342457741,188.9929793,23.76047559,23.76047559,1.008856948,0.060151507,0.060151507,HCG_042,0.0133,5.866,0.484,22.169,0.995,0,10:00:14.234      ,-19:38:10.75      ,
280,HCG_051,-7.020146224,2.692326978,2.692326978,130.8447687,10.85770965,10.85770965,0.557678517,0.074816591,0.074816591,HCG_051,0.0258,10.878,1.259,-,-,5,11:22:26.419      ,24:17:51.19       ,
226,HCG_097,-2.964822349,2.537101939,2.537101939,90.32554528,5.549675773,5.549675773,0.577187074,0.074297184,0.074297184,HCG_097,0.0218,-,-,-,-,0,23:47:22.822      ,-2:17:59.81       ,
34,Hercules_A,0.604461984,2.871350485,2.871350485,211.7993223,20.46108153,20.46108153,1.071758621,0.127141904,0.127141904,Hercules_A,0.155,5.418,0.19,15.461,0.205,30,16:51:08.160      ,4:59:32.42        ,
49,Hydra_A,15.71093906,0.626827829,0.626827829,142.6390327,19.03128778,19.03128778,1.46168205,0.11069958,0.11069958,Hydra_A,0.0549,1.73,0.043,8.967,0.039,39,9:18:05.986       ,-12:05:43.94      ,
105,IC_1365,160.8333657,19.73192128,19.73192128,71.37850496,38.38568973,38.38568973,1.337766993,0.371221086,0.371221086,IC_1365,0.0493,2.178,0.24,-,-,0,21:13:55.867      ,2:33:49.64        ,
223,IC_1633,2.846235822,0.782718396,0.782718396,845.5169863,95.77742167,95.77742167,1.218534332,0.057235657,0.057235657,IC_1633,0.0243,9.521,0.545,-,-,28,1:09:55.405       ,-45:55:50.79      ,
99,IC_1880_GROUP,4.00294662,1.229202841,1.229202841,342.980278,75.62358931,75.62358931,1.587949211,0.153818684,0.153818684,IC_1880_GROUP,0.0338,0.475,0.022,-,-,0,3:06:28.456       ,-9:43:52.36       ,
181,LCDCS_0829,3.460229123,2.29858974,2.29858974,177.097596,6.230902845,6.230902845,1.073674751,0.035764434,0.035764434,LCDCS_0829,0.451,12.871,0.11,14.468,0.118,21,13:47:30.593      ,-11:45:10.04      ,
342,MACS_J0011.7-1523,7.905560331,6.688152504,6.688152504,139.3228781,14.30589774,14.30589774,0.861236838,0.076364007,0.076364007,MACS_J0011.7-1523,0.378,5.701,0.274,12.224,0.388,0,0:11:42.965       ,-15:23:20.80      ,
253,MACS_J0025.4-1222,149.8153377,20.3617204,20.3617204,63.48654934,19.63258033,19.63258033,1.336886781,0.154436473,0.154436473,MACS_J0025.4-1222,0.5843,2.725,0.237,5.878,0.349,0,0:25:29.688       ,-12:22:33.87      ,
227,MACS_J0242.6-2132,9.401549373,1.572949282,1.572949282,85.74801753,5.659510284,5.659510284,1.302089498,0.058525608,0.058525608,MACS_J0242.6-2132,0.314,15.195,0.604,18.059,0.676,0,2:42:35.906       ,-21:32:26.30      ,
13,MACS_J0308.9+2645,144.0107058,31.44871198,31.44871198,106.5559461,32.82525249,32.82525249,1.111475592,0.141080444,0.141080444,MACS_J0308.9+2645,0.324,7.524,0.312,6.588,0.289,0,3:08:55.927       ,26:45:38.34       ,
332,MACS_J0329.6-0211,4.990945422,2.267755615,2.267755615,118.0813119,5.827620008,5.827620008,1.094902827,0.041688506,0.041688506,MACS_J0329.6-0211,0.45,9.355,0.362,15.674,0.469,0,3:29:41.681       ,-2:11:47.65       ,
304,MACS_J0358.8-2955,26.15137019,14.95643678,14.95643678,167.4199202,22.121981,22.121981,0.687000341,0.061674152,0.061674152,MACS_J0358.8-2955,0.425,3.674,0.199,7.657,0.267,0,3:58:52.563       ,-29:55:49.10      ,
335,MACS_J0416.1-2403,76.27244299,106.5217605,106.5217605,245.7169321,116.8941501,116.8941501,0.421221067,0.224674652,0.224674652,MACS_J0416.1-2403,0.42,4.496,0.32,5.749,0.357,0,4:16:09.444       ,-24:04:00.73      ,
180,MACS_J0417.5-1154,23.91943497,8.332098963,8.332098963,159.3957531,14.09368163,14.09368163,0.935201163,0.061025173,0.061025173,MACS_J0417.5-1154,0.44,6.716,0.194,8.966,0.207,20,4:17:34.687       ,-11:54:32.72      ,
326,MACS_J0429.6-0253,12.16901712,3.110479556,3.110479556,109.8732696,8.616479364,8.616479364,1.165621469,0.070862825,0.070862825,MACS_J0429.6-0253,0.399,14.9,0.621,16.28,0.66,0,4:29:36.089       ,-2:53:09.02       ,
219,MACS_J0553.4-3342,106.5767327,46.57404126,46.57404126,220.9296528,82.05863007,82.05863007,0.69351499,0.179024568,0.179024568,MACS_J0553.4-3342,0.407,3.469,0.141,3.651,0.144,20,5:53:27.671       ,-33:42:37.56      ,
120,MACS_J0744.9+3927,53.44326193,7.50834945,7.50834945,86.73430899,11.75382689,11.75382689,1.150814386,0.085723456,0.085723456,MACS_J0744.9+3927,0.6976,9.582,0.412,12.471,0.479,0,7:44:52.802       ,39:27:24.41       ,
284,MACS_J1108.9+0906,80.24928325,38.93989457,38.93989457,111.0191454,64.85440183,64.85440183,0.788728101,0.251802041,0.251802041,MACS_J1108.9+0906,0.449,4.721,0.475,8.216,0.654,0,11:08:55.287      ,9:05:56.91        ,
297,MACS_J1115.8+0129,22.14670928,2.422180462,2.422180462,124.0165555,9.385828536,9.385828536,1.667493344,0.182666873,0.182666873,MACS_J1115.8+0129,0.352,12.876,0.333,12.623,0.33,13,11:15:52.049      ,1:29:56.54        ,
345,MACS_J1149.6+2223,267.5397843,25.88692727,25.88692727,18.05159783,9.183506855,9.183506855,1.858858634,0.104069578,0.104069578,MACS_J1149.6+2223,0.5444,3.013,0.272,3.795,0.286,0,11:49:35.856      ,22:23:55.03       ,
123,MACS_J1206.2-0847,54.19987647,11.44318455,11.44318455,134.8509583,20.75470907,20.75470907,1.104505715,0.10220785,0.10220785,MACS_J1206.2-0847,0.44,9.016,0.35,7.072,0.308,0,12:06:12.276      ,-8:48:02.41       ,
47,MACS_J1311.0-0311,32.42311288,3.780681509,3.780681509,83.82732896,8.126687111,8.126687111,1.35652531,0.08531269,0.08531269,MACS_J1311.0-0311,0.494,7.664,0.356,20.045,0.691,0,13:11:01.666      ,-3:10:39.50       ,
189,MACS_J1359.2-1929,19.0128541,3.628066286,3.628066286,92.6446842,9.761090862,9.761090862,1.329786958,0.105629275,0.105629275,MACS_J1359.2-1929,0.447,97.328,4.391,52.091,2.415,0,13:59:10.221      ,-19:29:25.09      ,
136,MACS_J1427.6-2521,9.473921358,4.811190542,4.811190542,133.7330763,10.33538311,10.33538311,0.92183939,0.065539961,0.065539961,MACS_J1427.6-2521,0.318,8.244,0.48,30.193,1.245,0,14:27:40.243      ,-25:21:14.75      ,
199,MACS_J1532.8+3021,13.36477019,0.900828014,0.900828014,82.16850157,2.761164453,2.761164453,1.339026905,0.029728021,0.029728021,MACS_J1532.8+3021,0.345,7.564,0.125,18.121,0.208,0,15:32:53.782      ,30:20:58.70       ,
104,MACS_J1621.3+3810,-2.413422374,5.625767322,5.625767322,168.7601013,12.89336852,12.89336852,0.917353873,0.057953478,0.057953478,MACS_J1621.3+3810,0.465,10.743,0.324,19.403,0.485,0,16:21:24.802      ,38:10:08.65       ,
48,MACS_J1720.2+3536,12.31214016,2.522833442,2.522833442,131.3236661,7.489217163,7.489217163,1.122334691,0.047843494,0.047843494,MACS_J1720.2+3536,0.3913,10.775,0.341,13.119,0.382,0,17:20:16.954      ,35:36:23.62       ,
85,MACS_J1829.0+6913,36.35694199,4.091390828,4.091390828,99.98356882,8.250477474,8.250477474,1.328286087,0.093758639,0.093758639,MACS_J1829.0+6913,0.203,5.574,0.339,-,-,0,18:29:06.200      ,69:14:08.04       ,
146,MACS_J1931.8-2635,20.74614369,1.384883305,1.384883305,83.33883087,3.831946831,3.831946831,1.473548189,0.049122297,0.049122297,MACS_J1931.8-2635,0.352,8.884,0.162,15.562,0.206,15,19:31:49.656      ,-26:34:34.00      ,
222,MACS_J2046.0-3430,6.476170253,2.107999215,2.107999215,103.5103188,6.179283267,6.179283267,1.145054989,0.060846373,0.060846373,MACS_J2046.0-3430,0.423,12.531,0.598,21.947,0.893,0,20:46:00.425      ,-34:30:22.05      ,
202,MACS_J2140.2-2339,12.92757068,1.100710473,1.100710473,91.53265494,3.478352868,3.478352868,1.350160372,0.041120037,0.041120037,MACS_J2140.2-2339,0.313,10.301,0.206,17.566,0.277,0,21:40:15.178      ,-23:39:40.72      ,
252,MACS_J2214-1359,150.1977052,23.60052444,23.60052444,62.246039,24.88759964,24.88759964,1.286384518,0.195214667,0.195214667,MACS_J2214-1359,0.483,6.913,0.392,7.102,0.398,0,22:14:57.468      ,-14:00:09.36      ,
106,MACS_J2229.8-2756,7.679497422,1.376340964,1.376340964,93.19097146,5.099803672,5.099803672,1.285399802,0.054401154,0.054401154,MACS_J2229.8-2756,0.324,13.711,0.441,18.477,0.528,0,22:29:45.358      ,-27:55:38.42      ,
281,MACS_J2245.0+2637,38.96842233,6.767550901,6.767550901,90.58543637,13.34237809,13.34237809,1.270993061,0.145097396,0.145097396,MACS_J2245.0+2637,0.304,12.712,0.621,13.967,0.663,0,22:45:04.656      ,26:38:03.44       ,
243,MaxBCG_J016.70077+01.05926,11.75130698,0.707267751,0.707267751,68.44206677,2.756575556,2.756575556,1.516789917,0.046818677,0.046818677,MaxBCG_J016.70077+01.05926,0.2539,8.1,0.214,30.053,0.526,0,1:06:49.016       ,1:03:13.70,
244,MCXC_J0035.4-2015,136.3763388,16.25504296,16.25504296,41.33666043,12.8930606,12.8930606,1.521100987,0.1493314,0.1493314,MCXC_J0035.4-2015,0.364,4.292,0.263,6.737,0.325,0,0:35:26.573       ,-20:15:46.04      ,
231,MCXC_J0220.9-3829,18.43114363,3.386269738,3.386269738,110.539757,7.653881612,7.653881612,1.048725044,0.059166653,0.059166653,MCXC_J0220.9-3829,0.2287,7.332,0.501,23.228,1.076,0,2:20:56.582       ,-38:28:51.20      ,
318,MCXC_J0301.6+0155,12.1807027,1.87025586,1.87025586,112.0839988,4.925220927,4.925220927,1.063967112,0.045185404,0.045185404,MCXC_J0301.6+0155,0.1695,6.862,0.352,19.333,0.636,0,3:01:38.211       ,1:55:13.76        ,
31,MCXC_J0303.7-7752,187.0740793,34.23908608,34.23908608,85.93885432,47.78585149,47.78585149,1.419942891,0.315717861,0.315717861,MCXC_J0303.7-7752,0.2742,8.952,0.368,5.722,0.281,10,3:03:45.279       ,-77:52:47.16      ,
273,MCXC_J0331.1-2100,11.71767166,1.574058023,1.574058023,114.9912438,5.396431165,5.396431165,1.25150473,0.053046584,0.053046584,MCXC_J0331.1-2100,0.188,12.035,0.392,17.616,0.5,0,3:31:06.019       ,-21:00:32.94      ,
128,MCXC_J0338.6+0958,5.110625291,0.100138096,0.100138096,106.9010393,0.925257097,0.925257097,1.394871342,0.010731086,0.010731086,MCXC_J0338.6+0958,0.0363,1.523,0.049,10.661,0.046,15,3:38:41.105       ,9:58:00.66        ,
182,MCXC_J0340.8-4542,189.4193888,55.69196301,55.69196301,68.97364744,132.7054053,132.7054053,0.632863941,0.750334405,0.750334405,MCXC_J0340.8-4542,0.0698,-,-,0.329,0.027,0,3:40:53.790       ,-45:40:35.31      ,
263,MCXC_J0352.9+1941,7.106010084,0.38042531,0.38042531,56.74915995,2.013031672,2.013031672,1.493966752,0.060612267,0.060612267,MCXC_J0352.9+1941,0.109,6.812,0.199,24.523,0.437,10,3:52:58.482       ,19:40:54.76       ,
133,MCXC_J0425.8-0833,6.655858271,1.319544172,1.319544172,122.5706074,3.694630391,3.694630391,0.924497717,0.041539157,0.041539157,MCXC_J0425.8-0833,0.0397,5.5,0.234,21.536,0.571,0,4:25:51.271       ,-8:33:36.43       ,
