Title: ACCEPT 2.0: A compilation of X-ray gas properties for clusters of galaxies observed by the Chandra X-ray Observatory
Authors: Donahue M., Baldi A., Frisbie R., Koeppe D., Voit G.M.
Table: Deprojected Profiles
================================================================================
Byte-by-byte Description of file: deprojected_profiles.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
  1- 30  A30    --     Cluster_Name  a                                  
 32- 36  F5.1   arcsec r             b                      
 38- 41  F4.1   arcsec rerr          c                       
 43- 48  F6.3   keV    kT            d                      
 50- 55  F6.3   keV    kT_err_minus  e                     
 57- 61  F5.3   keV    kT_err_plus   f                       
 63- 70  E8.3   cm3    ne            g                       
 72- 79  E8.3   cm3    ne_err_minus  h                     
 81- 88  E8.3   cm3    ne_err_plus   i                       
 90- 97  F8.3   keVcm2 K             j                    
 99-107  F9.3   keVcm2 K_err_minus   k               
109-118  F10.3  keVcm2 K_err_plus    l              
120-127  E8.3   erg    Eth           m
129-136  E8.3   erg    Eth_err_minus n               
138-147  E10.3  erg    Eth_err_plus  o             
149-156  E8.3   cm2    p_dyn         p                       
158-165  E8.3   cm2    p_err_minus   q                       
167-176  E10.3  cm2    p_err_plus    r                     
178-188  A11    ur     tc            t                                  
190-200  A11    ur     tc_err_minus  u                                  
202-213  A12    ur     tc_err_plus   v                                  
215-223  F9.5   deg    RA            w                                  
225-233  F9.5   deg    DEC           x                                  
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
Ophiuchus_CLUSTER               77.5  2.5 10.803  0.654 0.654 1.37e-02 2.41e-04  2.45e-04  188.901    13.489     13.866 1.34e+60 1.04e+59   1.06e+59 4.73e-10 3.66e-11   3.75e-11 8702000000  948700000   1035000000   258.11555 -23.36854
Ophiuchus_CLUSTER               82.5  2.5  9.875  0.633 0.516 1.22e-02 2.43e-04  2.48e-04  186.710    12.074     14.714 1.24e+60 8.85e+58   1.06e+59 3.85e-10 2.75e-11   3.29e-11 8842000000  951200000   1158000000   258.11555 -23.36854
Ophiuchus_CLUSTER               87.5  2.5  9.933  0.648 0.538 1.20e-02 2.31e-04  2.36e-04  190.059    12.578     15.109 1.37e+60 1.00e+59   1.18e+59 3.80e-10 2.77e-11   3.27e-11 9274000000  999000000   1206000000   258.11555 -23.36854
Ophiuchus_CLUSTER               92.5  2.5  9.482  0.560 0.415 1.17e-02 2.21e-04  2.26e-04  184.535    10.276     13.462 1.43e+60 8.90e+58   1.13e+59 3.54e-10 2.20e-11   2.80e-11 9217000000  893100000   1126000000   258.11555 -23.36854
Ophiuchus_CLUSTER               97.5  2.5  9.158  0.389 0.389 1.13e-02 2.08e-04  2.12e-04  181.699     9.816     10.118 1.49e+60 9.00e+58   9.18e+58 3.32e-10 2.01e-11   2.05e-11 8976000000  843400000   919800000    258.11555 -23.36854
Ophiuchus_CLUSTER              102.5  2.5 11.301  0.637 0.632 1.13e-02 2.00e-04  2.03e-04  224.206    14.994     15.519 2.03e+60 1.48e+59   1.52e+59 4.10e-10 2.99e-11   3.07e-11 11230000000 1177000000  1289000000   258.11555 -23.36854
Ophiuchus_CLUSTER              107.5  2.5 11.105  0.628 0.628 1.11e-02 1.90e-04  1.93e-04  223.103    14.986     15.395 2.16e+60 1.57e+59   1.61e+59 3.95e-10 2.88e-11   2.95e-11 11240000000 1169000000  1272000000   258.11555 -23.36854
Ophiuchus_CLUSTER              112.5  2.5 11.145  0.608 0.608 1.04e-02 1.88e-04  1.92e-04  233.735    15.377     15.826 2.22e+60 1.60e+59   1.64e+59 3.72e-10 2.68e-11   2.74e-11 11870000000 1243000000  1357000000   258.11555 -23.36854
Ophiuchus_CLUSTER              117.5  2.5  9.821  0.601 0.513 1.01e-02 1.83e-04  1.86e-04  210.128    13.340     15.637 2.07e+60 1.44e+59   1.67e+59 3.18e-10 2.22e-11   2.55e-11 10890000000 1115000000  1321000000   258.11555 -23.36854
Ophiuchus_CLUSTER              122.5  2.5 10.235  0.597 0.597 1.09e-02 1.62e-04  1.64e-04  208.223    14.065     14.391 2.53e+60 1.84e+59   1.87e+59 3.57e-10 2.59e-11   2.65e-11 10640000000 1059000000  1141000000   258.11555 -23.36854
