Cluster Name,Angular Separation (arcseconds),Z Separation,Z Separation over +1,K0
ABELL_S1150,2153.6935453661354,0.09540229885057473,0.019746233148295007,
ABELL_0514,784.5302033504396,0.002816901408450785,0.0001867413632119568,
_SBV2004__RS_28,753.8660155688423,0.010472727272727451,0.0022588235294118035,
CIZA_J2242.8+5301,327.3378857820112,0.010728125000000003,0.0017280201342281885,
ABELL_2256,217.46483167014264,0.01910344827586203,0.001047258979206047,111.0923316
ABELL_2163,185.80405209323854,0.014039408866995168,0.002369077306733183,
ABELL_3667,141.7739932076501,0.03749999999999996,0.0019886363636363613,
NSCS_J011502+002441,133.7934629559415,0.005111111111111134,0.0002200956937799053,
MCXC_J1514.9-1523,129.92412020784687,0.0036771300448431173,0.0006704824202780173,356.1472657
ABELL_1736,121.45215791603042,0.015434782608695703,0.0006787762906309773,139.6314103
ABELL_3911,116.24574634293128,0.0034020618556700718,0.0003008204193254302,338.3805425
ABELL_2061,99.77065557667981,0.025641025641025664,0.0018552875695732854,224.7373171
ABELL_2034,95.83285403403269,0.0176991150442478,0.0017969451931716099,
CIZA_J0107.7+5408,94.03117362391885,0.09095327102803742,0.008791327913279136,305.4753578
ABELL_2255,93.37051642000871,0.0933333333333333,0.006993524514338573,
Bullet_Cluster,90.99236647332206,0.0057432432432433615,0.0013117283950617553,
ABELL_1190,82.1246726276758,0.040000000000000036,0.0027906976744186073,213.6119844
MACS_J0553.4-3342,80.27395517588974,0.0454545454545455,0.013148542999289279,106.5767327
MCXC_J1514.9-1523,79.65492880189204,0.0018206278026906611,0.00033197056418644106,356.1472657
ABELL_0514,76.5365655294786,0.13661971830985917,0.009056956115779646,
BLOX_J1056.9-0337.3,61.79712996799523,0.010449574726610027,0.004717498628634148,126.7980328
SDSS_CE_J170.688583+01.106133,60.82415470037746,0.15277777777777793,0.010261194029850755,
ABELL_1240,59.03850842626551,0.2327044025157233,0.03192407247627265,196.2710082
ABELL_3402,58.268956455305435,0.0018493150684932894,0.00023560209424085537,
ABELL_0119,56.21514136377318,0.012045454545454607,0.0005076628352490447,
WHL_J092207.6+034558,56.163562423662775,0.03571428571428574,0.007812500000000007,
400d_J1202+5751,55.44128405825543,0.0014771048744460869,0.0005963029218843177,
III_Zw_054,54.424065408807536,0.0023793103448276924,6.705539358600884e-05,
ABELL_3395_SW,54.40361816849999,0.018431372549019675,0.000894386298763086,190.1176023
ZwCl_0008.8+5215,53.77871273212931,0.002884615384615467,0.00027173913043479036,170.494347
